Employee_ID,Company,Department,Employee_Type,Month,Performance,Role_Change,Team_Change,Leadership_Change,Technology_Change,Process_Change,Culture_Change,Location_Environment_Change,Adaptability_GroundTruth,role_change,team_change,leadership_change,technology_change,process_change,culture_change,location_environment_change
E001,Company A,IT,Stable Specialist,-6,73.3,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,-5,71.29,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,-4,71.29,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,-3,72.7,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,-2,68.39,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,-1,68.77,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,0,52.06,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,1,53.89,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,2,59.26,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,3,59.54,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,4,61.26,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,5,69.73,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E001,Company A,IT,Stable Specialist,6,69.07,86.0,74.0,74.0,87.0,99.0,23.0,2.0,0.6,,,,,,,
E002,Company A,Marketing,Resilient,-6,83.24,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,-5,82.56,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,-4,78.8,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,-3,83.26,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,-2,81.74,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,-1,80.22,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,0,71.94,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,1,79.55,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,2,81.17,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,3,83.98,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,4,90.2,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,5,94.14,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E002,Company A,Marketing,Resilient,6,99.36,2.0,100.0,50.0,6.0,20.0,72.0,38.0,0.9,,,,,,,
E003,Company A,HR,Declining,-6,81.7,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,-5,78.51,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,-4,82.97,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,-3,79.84,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,-2,80.5,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,-1,81.44,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,0,51.18,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,1,48.26,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,2,49.46,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,3,52.58,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,4,51.74,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,5,51.44,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E003,Company A,HR,Declining,6,50.05,86.0,61.0,39.0,84.0,79.0,81.0,52.0,0.1,,,,,,,
E004,Company A,HR,Declining,-6,69.29,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,-5,71.39,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,-4,71.03,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,-3,72.43,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,-2,70.12,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,-1,76.19,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,0,37.53,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,1,37.78,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,2,37.65,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,3,34.14,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,4,38.26,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,5,37.18,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E004,Company A,HR,Declining,6,34.61,87.0,36.0,98.0,43.0,85.0,90.0,34.0,0.1,,,,,,,
E005,Company A,Operations,Vulnerable,-6,72.39,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,-5,70.58,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,-4,70.7,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,-3,72.81,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,-2,70.42,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,-1,69.45,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,0,50.44,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,1,50.18,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,2,51.56,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,3,56.45,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,4,54.92,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,5,51.8,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E005,Company A,Operations,Vulnerable,6,59.41,31.0,70.0,58.0,85.0,27.0,65.0,41.0,0.25,,,,,,,
E006,Company A,Operations,Stable Specialist,-6,70.22,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,-5,70.81,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,-4,73.24,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,-3,72.2,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,-2,73.02,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,-1,72.17,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,0,51.54,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,1,58.17,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,2,60.72,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,3,56.87,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,4,68.11,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,5,72.75,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E006,Company A,Operations,Stable Specialist,6,74.17,31.0,95.0,87.0,51.0,61.0,57.0,51.0,0.6,,,,,,,
E007,Company A,Marketing,Declining,-6,72.59,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,-5,74.16,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,-4,72.49,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,-3,70.77,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,-2,70.02,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,-1,72.05,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,0,48.08,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,1,51.29,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,2,48.08,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,3,50.84,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,4,48.97,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,5,48.21,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E007,Company A,Marketing,Declining,6,46.9,23.0,68.0,97.0,69.0,85.0,10.0,15.0,0.1,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-6,83.0,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-5,78.97,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-4,78.8,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-3,82.48,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-2,82.03,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,-1,81.94,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,0,78.98,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,1,81.57,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,2,88.04,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,3,92.81,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,4,95.44,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,5,100.0,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E008,Company A,Finance,Rapid Adaptor,6,100.0,98.0,6.0,15.0,89.0,59.0,1.0,0.0,0.8,,,,,,,
E009,Company A,Operations,Resilient,-6,88.94,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,-5,84.65,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,-4,83.63,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,-3,83.36,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,-2,83.51,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,-1,84.99,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,0,82.82,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,1,88.39,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,2,95.18,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,3,99.25,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,4,100.0,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,5,100.0,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E009,Company A,Operations,Resilient,6,100.0,13.0,20.0,47.0,19.0,7.0,6.0,66.0,0.9,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-6,81.45,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-5,79.06,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-4,81.52,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-3,82.06,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-2,79.28,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,-1,78.12,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,0,69.27,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,1,74.51,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,2,76.07,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,3,79.93,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,4,84.99,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,5,84.72,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E010,Company A,Operations,Delayed Adaptor,6,85.44,34.0,63.0,48.0,16.0,43.0,91.0,29.0,0.5,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-6,71.8,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-5,67.76,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-4,69.84,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-3,69.39,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-2,71.25,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,-1,69.75,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,0,66.79,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,1,67.86,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,2,78.92,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,3,76.46,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,4,85.2,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,5,87.04,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E011,Company A,Sales,Rapid Adaptor,6,90.96,1.0,89.0,16.0,32.0,8.0,42.0,47.0,0.8,,,,,,,
E012,Company A,Finance,Resilient,-6,77.43,7.0,52.0,59.0,4.0,67.0,5.0,95.0,0.9,,,,,,,
